,abbreviation,assist_percentage,block_percentage,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,free_throws_per_field_goal_attempt,net_rating,offensive_rating,offensive_rebound_percentage,opp_assist_percentage,opp_block_percentage,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_free_throw_attempt_rate,opp_free_throw_percentage,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_steal_percentage,opp_three_point_attempt_rate,opp_three_point_field_goal_percentage,opp_total_rebound_percentage,opp_true_shooting_percentage,opp_two_point_field_goal_percentage,pace,simple_rating_system,steal_percentage,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_field_goal_percentage,win_percentage,Team_Id
49,CENTRAL-FLORIDA,48.5,11.1,0.504,0.435,0.399,0.661,0.264,8.900000000000006,101.0,32.6,60.9,9.0,0.427,0.365,0.223,0.707,0.158,92.1,25.5,9.7,0.401,0.313,44.4,0.458,0.399,66.2,9.58,6.0,3.69,0.394,0.352,55.6,0.535,18.9,0.489,0.667,1416
50,CENTRAL-MICHIGAN,39.7,6.6,0.516,0.424,0.354,0.791,0.28,0.7000000000000028,112.2,27.9,45.6,10.5,0.523,0.46,0.31,0.699,0.216,111.5,32.5,7.5,0.367,0.346,52.3,0.551,0.526,77.8,-5.76,7.2,-2.63,0.518,0.358,47.7,0.562,12.6,0.494,0.5,1141
51,CHARLESTON-SOUTHERN,41.4,8.4,0.502,0.441,0.344,0.666,0.229,-1.7999999999999972,105.3,29.0,54.0,9.4,0.53,0.461,0.405,0.737,0.299,107.1,26.1,7.1,0.384,0.359,49.9,0.57,0.524,69.7,-12.28,8.0,-6.21,0.358,0.341,50.1,0.53,14.1,0.497,0.387,1149
52,CHARLOTTE,45.1,7.3,0.509,0.444,0.341,0.746,0.254,-5.0,102.4,20.6,46.9,8.5,0.523,0.468,0.353,0.701,0.247,107.4,31.0,8.5,0.304,0.366,55.2,0.554,0.512,74.4,-5.24,8.5,-0.93,0.349,0.376,44.8,0.548,14.9,0.48,0.433,1150
53,CHATTANOOGA,47.1,12.4,0.533,0.466,0.394,0.71,0.28,8.600000000000009,109.2,31.1,48.8,10.1,0.497,0.445,0.363,0.756,0.274,100.6,32.2,9.2,0.304,0.342,50.9,0.541,0.489,68.1,1.1,11.4,-2.08,0.388,0.346,49.1,0.567,16.8,0.542,0.613,1151
54,CHICAGO-STATE,48.7,6.6,0.439,0.384,0.296,0.701,0.207,-18.39999999999999,91.4,26.8,64.9,10.0,0.546,0.465,0.355,0.706,0.251,109.8,30.2,8.5,0.447,0.362,53.2,0.574,0.549,70.3,-16.67,9.4,-0.19,0.354,0.311,46.8,0.476,16.7,0.424,0.188,1152
55,CINCINNATI,57.5,13.9,0.52,0.458,0.325,0.686,0.223,19.700000000000003,113.3,35.5,52.8,8.4,0.452,0.389,0.291,0.736,0.214,93.6,29.2,5.5,0.37,0.343,46.7,0.491,0.415,65.1,18.43,11.1,5.49,0.361,0.346,53.3,0.547,12.9,0.521,0.833,1153
56,CITADEL,57.2,5.9,0.5,0.416,0.34,0.757,0.258,-5.700000000000003,107.5,30.1,56.6,11.3,0.577,0.512,0.412,0.704,0.29,113.2,34.3,8.6,0.337,0.387,54.1,0.604,0.575,82.6,-12.86,11.1,-2.93,0.494,0.341,45.9,0.541,14.7,0.489,0.364,1154
57,CLEMSON,47.5,10.7,0.511,0.449,0.343,0.731,0.251,4.799999999999997,110.0,31.4,48.5,8.8,0.519,0.453,0.242,0.764,0.185,105.2,32.2,7.5,0.369,0.356,50.7,0.549,0.51,67.7,13.22,10.5,9.98,0.345,0.357,49.3,0.547,13.6,0.498,0.515,1155
58,CLEVELAND-STATE,43.9,8.7,0.465,0.405,0.294,0.691,0.203,-6.3999999999999915,96.2,29.0,60.1,9.3,0.52,0.458,0.406,0.684,0.278,102.6,32.1,7.2,0.36,0.35,53.0,0.553,0.518,68.8,-6.73,10.2,-1.53,0.386,0.309,47.0,0.497,16.2,0.466,0.29,1156
