,abbreviation,assist_percentage,block_percentage,effective_field_goal_percentage,field_goal_percentage,free_throw_attempt_rate,free_throw_percentage,free_throws_per_field_goal_attempt,net_rating,offensive_rating,offensive_rebound_percentage,opp_assist_percentage,opp_block_percentage,opp_effective_field_goal_percentage,opp_field_goal_percentage,opp_free_throw_attempt_rate,opp_free_throw_percentage,opp_free_throws_per_field_goal_attempt,opp_offensive_rating,opp_offensive_rebound_percentage,opp_steal_percentage,opp_three_point_attempt_rate,opp_three_point_field_goal_percentage,opp_total_rebound_percentage,opp_true_shooting_percentage,opp_two_point_field_goal_percentage,pace,simple_rating_system,steal_percentage,strength_of_schedule,three_point_attempt_rate,three_point_field_goal_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_field_goal_percentage,win_percentage,Team_Id
157,LOUISVILLE,48.4,15.2,0.514,0.457,0.34,0.686,0.233,16.400000000000006,112.0,36.6,48.3,8.3,0.457,0.401,0.388,0.695,0.269,95.6,28.2,7.2,0.356,0.316,45.9,0.5,0.448,68.5,22.47,9.7,11.15,0.321,0.355,54.1,0.543,13.4,0.505,0.735,1257
158,LOYOLA-IL,55.6,6.7,0.56,0.486,0.31,0.709,0.219,9.700000000000003,108.0,22.1,49.0,9.6,0.508,0.446,0.323,0.709,0.229,98.3,25.2,8.0,0.339,0.364,50.8,0.54,0.489,66.9,5.15,10.0,1.02,0.379,0.389,49.2,0.584,15.8,0.545,0.563,1260
159,LOYOLA-MARYMOUNT,57.0,11.6,0.506,0.444,0.311,0.62,0.193,-0.5999999999999943,101.7,30.7,60.3,9.1,0.511,0.449,0.43,0.715,0.308,102.3,29.9,8.9,0.355,0.347,50.5,0.552,0.505,69.0,-0.47,11.0,1.6,0.35,0.353,49.5,0.525,16.4,0.493,0.5,1258
160,LOYOLA-MD,51.1,9.6,0.47,0.42,0.397,0.692,0.275,-3.299999999999997,97.3,33.1,51.6,11.3,0.517,0.463,0.351,0.718,0.252,100.6,28.3,10.5,0.328,0.329,48.7,0.551,0.529,67.2,-6.32,10.7,-3.6,0.3,0.329,51.3,0.511,18.9,0.46,0.485,1259
161,MAINE,50.5,5.2,0.46,0.403,0.301,0.654,0.197,-14.900000000000006,93.5,26.9,52.0,9.4,0.524,0.461,0.33,0.721,0.238,108.4,28.0,9.6,0.347,0.361,51.5,0.556,0.515,69.2,-16.33,7.5,-4.01,0.359,0.319,48.5,0.489,16.5,0.45,0.219,1263
162,MANHATTAN,46.4,8.7,0.474,0.416,0.41,0.729,0.299,-9.599999999999994,96.5,30.8,60.2,10.6,0.516,0.453,0.534,0.712,0.38,106.1,30.2,8.9,0.325,0.392,50.2,0.563,0.481,71.8,-9.67,9.6,-2.61,0.351,0.329,49.8,0.521,19.7,0.463,0.313,1264
163,MARIST,47.0,6.7,0.499,0.429,0.379,0.725,0.275,-13.799999999999997,99.8,21.6,53.9,9.8,0.526,0.46,0.37,0.738,0.273,113.6,32.9,9.2,0.347,0.377,55.2,0.564,0.505,69.1,-12.33,6.6,-2.74,0.421,0.333,44.8,0.539,16.6,0.499,0.25,1265
164,MARQUETTE,57.1,9.3,0.576,0.487,0.31,0.781,0.242,9.299999999999997,115.2,27.0,59.5,10.3,0.522,0.459,0.356,0.697,0.249,105.9,29.1,9.2,0.342,0.368,50.4,0.553,0.506,71.1,15.26,10.1,8.6,0.415,0.429,49.6,0.607,15.5,0.528,0.594,1266
165,MARSHALL,56.4,8.3,0.536,0.456,0.365,0.734,0.268,2.0999999999999943,109.5,24.4,47.2,9.2,0.512,0.461,0.31,0.659,0.204,107.4,32.7,7.8,0.294,0.344,53.3,0.535,0.51,77.3,0.18,7.7,-1.05,0.43,0.37,46.7,0.571,14.2,0.522,0.571,1267
166,MARYLAND-BALTIMORE-COUNTY,53.0,6.4,0.55,0.469,0.339,0.745,0.252,5.400000000000006,111.4,25.8,51.7,6.8,0.521,0.454,0.345,0.723,0.249,106.0,26.4,7.7,0.382,0.354,50.1,0.555,0.516,71.3,-3.84,9.0,-5.87,0.412,0.393,49.9,0.582,14.8,0.522,0.618,1420
167,MARYLAND-EASTERN-SHORE,52.6,7.5,0.489,0.424,0.332,0.683,0.227,-6.6000000000000085,100.6,26.7,56.7,9.4,0.522,0.454,0.41,0.708,0.29,107.2,33.1,7.8,0.384,0.353,53.6,0.558,0.517,69.8,-13.77,8.0,-7.61,0.38,0.342,46.4,0.52,15.4,0.474,0.412,1271
168,MARYLAND,57.1,11.9,0.523,0.449,0.398,0.699,0.278,8.5,108.1,31.1,46.3,10.9,0.471,0.416,0.327,0.703,0.23,99.6,31.8,9.0,0.328,0.338,49.7,0.507,0.454,68.1,12.79,8.0,8.29,0.411,0.359,50.3,0.557,16.3,0.512,0.727,1268
169,MASSACHUSETTS-LOWELL,56.4,5.4,0.551,0.481,0.311,0.735,0.228,-3.799999999999997,106.0,27.2,54.7,7.1,0.531,0.463,0.374,0.736,0.275,109.8,30.3,11.7,0.369,0.367,51.0,0.568,0.52,73.0,-10.13,7.5,-6.4,0.363,0.39,49.0,0.58,18.5,0.532,0.355,1262
170,MASSACHUSETTS,62.5,13.2,0.497,0.437,0.346,0.66,0.228,0.0,98.5,28.1,57.9,8.3,0.469,0.413,0.445,0.704,0.313,98.5,30.2,9.2,0.324,0.345,50.7,0.516,0.445,73.0,1.63,10.4,1.66,0.407,0.297,49.3,0.525,17.8,0.533,0.455,1269
171,MCNEESE-STATE,42.2,7.5,0.479,0.421,0.359,0.685,0.246,-11.799999999999997,96.9,26.0,53.8,8.4,0.504,0.449,0.396,0.718,0.284,108.7,35.4,8.7,0.317,0.349,55.0,0.544,0.495,72.4,-14.28,7.5,-4.12,0.346,0.332,45.0,0.514,16.9,0.468,0.241,1270
172,MEMPHIS,59.6,13.0,0.489,0.442,0.367,0.683,0.25,4.700000000000003,104.9,31.6,54.5,10.1,0.488,0.423,0.332,0.687,0.228,100.2,30.6,8.2,0.388,0.337,49.8,0.52,0.477,70.0,6.47,9.8,3.19,0.318,0.295,50.2,0.523,14.0,0.511,0.594,1272
173,MERCER,55.0,7.5,0.512,0.444,0.324,0.782,0.253,4.1000000000000085,110.4,35.0,58.5,9.8,0.492,0.415,0.334,0.747,0.25,106.3,28.1,8.8,0.446,0.344,46.0,0.532,0.472,63.5,-1.12,6.5,-0.92,0.393,0.35,54.0,0.554,15.2,0.505,0.469,1273
174,MIAMI-FL,47.8,10.5,0.51,0.452,0.343,0.718,0.246,7.599999999999994,106.3,33.4,51.9,8.3,0.476,0.419,0.287,0.739,0.212,98.7,28.1,9.2,0.347,0.33,47.0,0.512,0.466,64.7,14.48,9.9,9.57,0.326,0.356,53.0,0.544,16.6,0.498,0.636,1274
175,MIAMI-OH,46.3,11.8,0.488,0.434,0.38,0.691,0.262,-5.799999999999997,97.4,25.6,49.2,9.8,0.506,0.432,0.385,0.735,0.283,103.2,31.0,11.2,0.425,0.347,52.9,0.547,0.495,71.6,-8.16,10.3,-2.1,0.356,0.308,47.1,0.525,17.9,0.503,0.344,1275
176,MICHIGAN-STATE,65.3,11.9,0.54,0.47,0.335,0.669,0.224,4.699999999999989,105.1,29.1,53.6,8.8,0.467,0.41,0.347,0.726,0.252,100.4,26.9,8.8,0.327,0.346,47.4,0.509,0.442,68.2,13.67,6.3,10.5,0.38,0.373,52.6,0.563,18.0,0.529,0.571,1277
177,MICHIGAN,52.6,7.4,0.57,0.483,0.301,0.779,0.234,13.400000000000006,116.5,24.5,45.7,8.3,0.519,0.465,0.272,0.684,0.186,103.1,29.5,6.6,0.288,0.378,52.1,0.542,0.5,63.8,18.8,9.0,10.17,0.451,0.385,47.9,0.601,12.8,0.563,0.684,1276
178,MIDDLE-TENNESSEE,54.4,8.3,0.543,0.488,0.304,0.699,0.212,16.60000000000001,112.4,30.7,50.6,5.8,0.478,0.42,0.372,0.711,0.265,95.8,23.8,7.1,0.36,0.323,46.1,0.519,0.475,66.4,9.8,10.1,-0.48,0.299,0.367,53.9,0.567,13.6,0.54,0.861,1292
179,MILWAUKEE,54.3,4.6,0.511,0.441,0.276,0.66,0.182,-6.300000000000011,100.6,24.1,53.8,10.6,0.535,0.465,0.331,0.702,0.232,106.9,26.0,8.7,0.395,0.353,51.5,0.563,0.539,65.3,-7.37,7.0,-2.17,0.401,0.348,48.5,0.532,15.6,0.504,0.314,1454
180,MINNESOTA,57.2,15.9,0.487,0.435,0.396,0.711,0.281,8.0,104.6,29.6,53.7,8.7,0.451,0.4,0.292,0.682,0.199,96.6,30.1,7.9,0.332,0.309,49.5,0.484,0.445,70.3,14.56,7.9,8.82,0.299,0.343,50.5,0.528,14.0,0.475,0.706,1278
181,MISSISSIPPI-STATE,47.0,10.7,0.511,0.444,0.339,0.687,0.233,1.7000000000000028,102.0,27.2,47.1,9.5,0.481,0.428,0.379,0.71,0.269,100.3,30.2,7.2,0.341,0.315,51.1,0.522,0.486,70.8,7.12,10.5,5.9,0.385,0.347,48.9,0.54,16.8,0.504,0.5,1280
182,MISSISSIPPI-VALLEY-STATE,45.7,5.2,0.466,0.421,0.335,0.65,0.218,-18.400000000000006,95.8,30.4,55.7,8.2,0.564,0.49,0.378,0.705,0.266,114.2,33.7,10.2,0.393,0.381,53.0,0.591,0.56,72.1,-20.54,9.3,-7.11,0.262,0.343,47.0,0.496,17.0,0.449,0.219,1290
183,MISSISSIPPI,50.9,11.3,0.488,0.423,0.428,0.752,0.322,2.200000000000003,105.4,33.8,59.4,9.7,0.498,0.426,0.356,0.701,0.25,103.2,30.0,9.2,0.401,0.363,48.0,0.533,0.467,73.4,9.65,9.1,7.99,0.377,0.347,52.0,0.539,16.5,0.468,0.611,1279
184,MISSOURI-KANSAS-CITY,49.5,7.0,0.515,0.439,0.374,0.713,0.267,-2.3999999999999915,102.9,27.6,51.5,7.9,0.519,0.457,0.42,0.68,0.285,105.3,31.1,8.5,0.365,0.339,52.1,0.552,0.525,74.5,-4.97,9.0,-1.06,0.408,0.371,47.9,0.55,17.3,0.485,0.514,1282
185,MISSOURI-STATE,48.1,10.7,0.513,0.442,0.344,0.701,0.241,5.599999999999994,107.6,33.2,54.4,7.5,0.495,0.434,0.326,0.75,0.245,102.0,24.3,8.8,0.356,0.341,45.8,0.535,0.486,66.4,2.84,7.9,1.18,0.393,0.363,54.2,0.545,15.6,0.493,0.515,1283
186,MISSOURI,51.9,6.2,0.452,0.393,0.387,0.683,0.264,-5.299999999999997,97.4,28.2,51.0,12.6,0.496,0.428,0.426,0.681,0.29,102.7,30.2,7.4,0.395,0.344,51.9,0.533,0.483,70.5,2.98,8.8,6.73,0.39,0.304,48.1,0.494,14.6,0.45,0.25,1281
187,MONMOUTH,46.4,11.9,0.508,0.437,0.373,0.757,0.282,10.099999999999994,108.3,29.7,52.1,11.5,0.47,0.407,0.357,0.711,0.254,98.2,30.0,7.9,0.38,0.334,49.8,0.511,0.451,74.2,4.94,9.2,-2.62,0.382,0.373,50.2,0.551,14.5,0.476,0.794,1284
188,MONTANA-STATE,49.4,6.6,0.517,0.435,0.367,0.73,0.268,1.2000000000000028,108.3,27.8,49.2,8.9,0.521,0.449,0.496,0.71,0.352,107.1,27.2,7.8,0.387,0.375,50.4,0.565,0.496,71.7,-6.14,7.7,-5.88,0.433,0.375,49.6,0.554,14.5,0.482,0.5,1286
189,MONTANA,49.3,7.9,0.512,0.449,0.33,0.752,0.249,1.8999999999999915,107.8,28.0,45.1,10.7,0.52,0.462,0.444,0.702,0.312,105.9,26.8,7.5,0.337,0.345,50.0,0.558,0.521,68.7,-2.67,8.2,-4.02,0.355,0.357,50.0,0.55,13.7,0.499,0.5,1285
190,MOREHEAD-STATE,54.9,9.4,0.518,0.461,0.285,0.726,0.207,2.6999999999999886,108.6,35.7,51.4,8.1,0.539,0.462,0.413,0.703,0.29,105.9,26.8,7.1,0.402,0.384,46.5,0.572,0.514,71.8,-3.6,9.3,-1.85,0.298,0.386,53.5,0.547,15.7,0.493,0.467,1287
191,MORGAN-STATE,46.6,8.9,0.43,0.385,0.38,0.711,0.27,-4.599999999999994,95.2,34.8,55.8,9.0,0.486,0.438,0.409,0.658,0.269,99.8,31.1,9.9,0.333,0.286,49.2,0.519,0.514,70.3,-15.03,8.0,-11.2,0.302,0.294,50.8,0.478,16.6,0.425,0.467,1288
192,MOUNT-ST-MARYS,46.0,9.6,0.51,0.444,0.324,0.673,0.218,-1.1000000000000085,99.1,23.0,43.9,7.9,0.499,0.453,0.326,0.66,0.215,100.2,34.6,9.3,0.274,0.341,55.5,0.525,0.495,68.4,-4.29,9.0,-3.51,0.369,0.358,44.5,0.536,17.1,0.494,0.556,1291
193,MURRAY-STATE,50.9,6.1,0.512,0.441,0.368,0.735,0.271,4.099999999999994,110.1,31.8,49.9,8.6,0.516,0.45,0.38,0.708,0.269,106.0,29.1,8.0,0.369,0.36,49.1,0.551,0.502,71.1,-3.06,8.3,-4.41,0.394,0.36,50.9,0.551,14.4,0.493,0.485,1293
194,NAVY,58.9,7.1,0.482,0.422,0.359,0.641,0.23,1.0,99.5,37.2,58.8,8.7,0.526,0.455,0.385,0.69,0.266,98.5,25.6,11.6,0.401,0.357,45.8,0.558,0.52,64.9,-4.11,10.9,-3.92,0.385,0.307,54.2,0.51,18.6,0.494,0.5,1298
195,NEBRASKA-OMAHA,49.4,8.6,0.529,0.454,0.405,0.748,0.303,0.5,108.8,28.4,52.3,10.4,0.535,0.463,0.334,0.737,0.246,108.3,30.4,8.7,0.388,0.369,51.3,0.568,0.523,76.2,-2.24,10.6,-1.11,0.388,0.388,48.7,0.571,15.9,0.495,0.563,1303
196,NEBRASKA,44.6,9.7,0.463,0.416,0.298,0.71,0.211,-4.400000000000006,99.5,33.9,51.1,11.0,0.514,0.447,0.329,0.698,0.23,103.9,29.4,8.8,0.334,0.399,48.7,0.544,0.471,69.2,6.47,9.7,10.74,0.294,0.32,51.3,0.498,15.9,0.456,0.387,1304
197,NEVADA-LAS-VEGAS,55.2,6.6,0.451,0.395,0.376,0.696,0.261,-8.900000000000006,96.6,28.9,50.1,11.8,0.516,0.451,0.286,0.689,0.197,105.5,27.3,8.6,0.346,0.378,50.1,0.541,0.489,70.4,-3.75,8.3,2.59,0.352,0.32,49.9,0.494,15.5,0.435,0.344,1424
198,NEVADA,59.9,11.0,0.525,0.448,0.413,0.705,0.291,11.799999999999997,112.0,30.3,52.0,6.3,0.483,0.428,0.282,0.692,0.195,100.2,26.1,7.7,0.355,0.31,47.6,0.512,0.493,70.9,10.49,7.6,2.03,0.402,0.382,52.4,0.561,13.4,0.492,0.8,1305
199,NEW-HAMPSHIRE,50.8,5.0,0.51,0.438,0.351,0.725,0.255,7.299999999999997,104.8,29.3,45.3,8.9,0.483,0.425,0.284,0.63,0.179,97.5,21.8,9.1,0.36,0.322,45.7,0.505,0.484,66.8,-3.57,5.9,-4.46,0.407,0.352,54.3,0.546,16.1,0.497,0.625,1306
200,NEW-MEXICO-STATE,55.3,9.6,0.531,0.467,0.431,0.712,0.307,15.399999999999991,112.1,36.7,43.4,5.4,0.467,0.419,0.348,0.682,0.237,96.7,29.1,7.4,0.325,0.294,45.6,0.503,0.48,70.0,4.66,6.9,-3.82,0.382,0.337,54.4,0.568,16.5,0.546,0.824,1308
201,NEW-MEXICO,53.9,10.3,0.502,0.46,0.461,0.746,0.344,1.4000000000000057,104.0,27.0,56.9,8.2,0.506,0.433,0.377,0.69,0.26,102.6,27.8,10.6,0.4,0.369,49.5,0.54,0.475,70.5,3.04,8.6,2.07,0.262,0.327,50.5,0.553,16.3,0.507,0.548,1307
202,NEW-ORLEANS,60.2,8.6,0.513,0.473,0.427,0.71,0.303,5.1000000000000085,103.2,36.7,51.1,8.0,0.5,0.442,0.342,0.687,0.235,98.1,31.6,11.9,0.369,0.316,47.1,0.531,0.515,69.5,-4.1,11.2,-5.34,0.25,0.317,52.9,0.552,20.2,0.525,0.625,1309
203,NIAGARA,49.2,11.2,0.476,0.416,0.336,0.75,0.252,-5.5,102.2,30.6,55.3,9.9,0.505,0.441,0.308,0.729,0.224,107.7,30.7,8.1,0.351,0.366,50.2,0.538,0.481,71.8,-8.34,7.2,-4.37,0.328,0.366,49.8,0.519,15.4,0.44,0.303,1310
204,NICHOLLS-STATE,55.8,15.4,0.504,0.427,0.372,0.739,0.275,-6.5,102.2,26.8,56.8,11.3,0.537,0.469,0.343,0.685,0.235,108.7,35.9,8.6,0.345,0.398,54.7,0.563,0.506,72.2,-14.57,10.3,-5.23,0.446,0.345,45.3,0.546,17.5,0.493,0.452,1311
205,NJIT,50.3,8.1,0.493,0.423,0.323,0.703,0.227,-3.0,101.2,30.1,53.9,8.2,0.531,0.459,0.351,0.703,0.247,104.2,24.0,8.8,0.382,0.375,48.0,0.561,0.511,71.5,-10.12,9.1,-4.22,0.417,0.333,52.0,0.526,16.3,0.488,0.355,1312
206,NORFOLK-STATE,45.3,14.5,0.482,0.424,0.373,0.681,0.254,-2.299999999999997,97.5,29.7,56.6,10.0,0.472,0.406,0.393,0.654,0.257,99.8,28.7,8.3,0.388,0.339,48.8,0.506,0.449,70.6,-12.07,7.1,-8.57,0.34,0.339,51.2,0.517,18.0,0.468,0.5,1313
207,NORTH-CAROLINA-ASHEVILLE,56.4,5.8,0.545,0.476,0.357,0.681,0.243,12.200000000000003,108.9,25.0,55.7,8.6,0.518,0.449,0.32,0.657,0.211,96.7,26.8,7.6,0.387,0.355,51.0,0.541,0.509,69.5,0.84,13.1,-5.61,0.351,0.394,49.0,0.57,14.7,0.52,0.697,1421
208,NORTH-CAROLINA-AT,48.4,6.4,0.483,0.424,0.342,0.681,0.233,-17.900000000000006,97.3,32.2,63.9,11.3,0.523,0.444,0.386,0.717,0.277,115.2,33.1,8.8,0.417,0.379,50.2,0.559,0.491,65.1,-23.07,6.8,-9.61,0.355,0.328,49.8,0.515,18.9,0.477,0.094,1299
209,NORTH-CAROLINA-CENTRAL,52.7,8.7,0.517,0.454,0.341,0.683,0.233,16.400000000000006,108.7,32.9,45.6,7.4,0.445,0.393,0.287,0.648,0.186,92.3,31.2,6.6,0.361,0.29,48.3,0.473,0.451,68.8,-3.18,8.9,-12.12,0.38,0.335,51.7,0.546,14.8,0.527,0.735,1300
210,NORTH-CAROLINA-GREENSBORO,55.4,10.9,0.539,0.464,0.295,0.706,0.209,8.5,109.8,34.8,53.0,8.6,0.495,0.428,0.347,0.746,0.258,101.3,30.1,9.4,0.37,0.359,47.4,0.536,0.469,68.4,-0.1,10.2,-2.63,0.395,0.382,52.6,0.564,16.9,0.517,0.714,1422
211,NORTH-CAROLINA-STATE,51.5,10.7,0.527,0.468,0.362,0.7,0.253,-2.700000000000003,107.1,29.8,49.0,7.4,0.516,0.45,0.304,0.716,0.217,109.8,31.4,9.0,0.356,0.369,49.9,0.546,0.495,71.9,6.09,7.0,8.09,0.335,0.356,50.1,0.558,16.1,0.524,0.469,1301
212,NORTH-CAROLINA-WILMINGTON,52.7,8.2,0.555,0.48,0.317,0.691,0.219,13.699999999999989,118.1,32.8,46.2,7.4,0.526,0.478,0.396,0.716,0.283,104.4,27.6,6.8,0.289,0.338,48.4,0.562,0.534,71.5,8.06,9.3,-0.55,0.411,0.366,51.6,0.578,12.4,0.559,0.829,1423
213,NORTH-CAROLINA,58.9,9.7,0.519,0.466,0.348,0.701,0.244,19.0,116.0,41.3,46.6,9.6,0.48,0.413,0.314,0.725,0.228,97.0,24.5,8.6,0.395,0.34,41.8,0.517,0.461,72.6,24.84,9.7,11.76,0.303,0.355,58.2,0.55,13.4,0.514,0.825,1314
214,NORTH-DAKOTA-STATE,47.1,10.1,0.526,0.458,0.384,0.711,0.273,4.700000000000003,107.4,25.7,53.8,8.3,0.5,0.429,0.303,0.708,0.215,102.7,27.6,8.2,0.374,0.38,50.0,0.532,0.458,68.8,-1.31,8.8,-2.63,0.372,0.368,50.0,0.561,14.8,0.511,0.633,1295
215,NORTH-DAKOTA,52.6,7.5,0.542,0.483,0.364,0.713,0.26,9.299999999999997,108.8,26.8,44.8,5.6,0.501,0.443,0.385,0.691,0.266,99.5,26.7,8.5,0.329,0.351,49.5,0.536,0.489,72.9,-1.83,10.6,-5.45,0.305,0.39,50.5,0.573,15.7,0.523,0.688,1315
216,NORTH-FLORIDA,48.3,10.0,0.53,0.457,0.369,0.655,0.242,-1.5,105.8,34.2,53.2,9.5,0.508,0.448,0.338,0.686,0.232,107.3,31.3,11.0,0.335,0.358,48.1,0.538,0.493,73.3,-7.78,7.4,-1.65,0.415,0.351,51.9,0.554,18.5,0.533,0.441,1316
217,NORTH-TEXAS,45.7,8.4,0.477,0.424,0.362,0.646,0.234,-8.399999999999991,96.2,26.9,52.7,9.3,0.496,0.432,0.339,0.745,0.253,104.6,30.9,9.6,0.374,0.341,52.0,0.536,0.486,71.6,-11.14,9.2,-3.32,0.333,0.32,48.0,0.507,16.7,0.476,0.267,1317
218,NORTHEASTERN,54.0,9.9,0.535,0.456,0.378,0.681,0.257,0.20000000000000284,105.9,25.6,52.6,11.6,0.521,0.455,0.31,0.696,0.216,105.7,26.8,8.5,0.364,0.364,50.3,0.548,0.507,67.2,-0.78,8.1,-0.91,0.433,0.367,49.7,0.563,16.4,0.524,0.484,1318
219,NORTHERN-ARIZONA,57.2,5.4,0.47,0.406,0.34,0.683,0.233,-9.599999999999994,97.0,31.2,52.2,8.8,0.526,0.459,0.323,0.689,0.222,106.6,26.6,9.6,0.392,0.337,48.5,0.552,0.538,71.1,-13.92,6.2,-5.95,0.394,0.32,51.5,0.504,17.5,0.462,0.281,1319
220,NORTHERN-COLORADO,53.6,6.1,0.516,0.439,0.354,0.605,0.214,-4.3999999999999915,100.7,28.1,47.3,11.0,0.521,0.455,0.351,0.713,0.25,105.1,24.9,8.7,0.376,0.352,49.3,0.554,0.517,70.5,-9.27,7.1,-4.2,0.439,0.347,50.7,0.533,17.3,0.512,0.379,1294
221,NORTHERN-ILLINOIS,41.9,7.6,0.48,0.438,0.385,0.677,0.261,2.200000000000003,101.8,33.4,57.0,7.4,0.507,0.435,0.378,0.668,0.253,99.6,27.7,8.3,0.413,0.347,47.8,0.537,0.497,69.3,-3.29,10.0,-2.05,0.273,0.312,52.2,0.516,16.1,0.485,0.469,1296
222,NORTHERN-IOWA,47.9,8.5,0.472,0.399,0.334,0.733,0.244,-3.8999999999999915,94.4,18.0,52.4,7.6,0.5,0.429,0.252,0.751,0.189,98.3,28.0,8.9,0.391,0.362,55.6,0.531,0.472,64.7,1.29,10.0,5.22,0.45,0.326,44.4,0.513,15.9,0.459,0.467,1320
223,NORTHERN-KENTUCKY,52.4,7.1,0.529,0.456,0.363,0.68,0.247,6.099999999999994,107.3,31.7,45.4,12.4,0.494,0.44,0.301,0.707,0.213,101.2,25.8,8.4,0.335,0.325,46.9,0.526,0.498,70.8,-0.17,8.1,-2.84,0.422,0.349,53.1,0.557,16.4,0.533,0.686,1297
224,NORTHWESTERN-STATE,53.9,6.8,0.502,0.442,0.426,0.69,0.294,-4.5,102.7,31.3,58.5,8.2,0.535,0.47,0.382,0.665,0.254,107.2,31.3,9.5,0.348,0.377,50.4,0.561,0.519,73.4,-12.03,9.1,-6.07,0.327,0.366,49.6,0.54,17.7,0.479,0.448,1322
225,NORTHWESTERN,59.1,13.2,0.497,0.436,0.304,0.747,0.227,8.399999999999991,106.8,30.7,52.4,10.3,0.461,0.403,0.361,0.669,0.242,98.4,30.6,8.6,0.345,0.334,49.4,0.497,0.44,66.6,14.02,7.9,8.43,0.357,0.343,50.6,0.534,13.8,0.488,0.667,1321
226,NOTRE-DAME,57.8,9.7,0.536,0.458,0.286,0.8,0.229,11.799999999999997,113.8,27.3,51.1,11.5,0.491,0.432,0.267,0.736,0.196,102.0,30.6,7.7,0.349,0.338,51.3,0.523,0.482,67.7,17.81,10.4,9.78,0.406,0.384,48.7,0.573,12.3,0.509,0.722,1323
227,OAKLAND,61.6,11.6,0.515,0.455,0.372,0.761,0.283,11.0,106.2,29.1,51.1,8.3,0.459,0.407,0.283,0.7,0.199,95.2,28.6,8.5,0.325,0.32,48.5,0.492,0.449,74.5,4.22,10.5,-3.0,0.359,0.335,51.5,0.558,16.0,0.522,0.735,1324
228,OHIO-STATE,52.5,10.8,0.522,0.463,0.381,0.682,0.26,4.3999999999999915,105.6,29.7,52.7,8.2,0.489,0.416,0.294,0.664,0.196,101.2,28.8,7.2,0.41,0.356,48.4,0.515,0.457,68.7,10.31,7.5,7.28,0.331,0.356,51.6,0.552,16.7,0.516,0.531,1326
229,OHIO,49.7,7.5,0.532,0.455,0.341,0.69,0.235,9.799999999999997,106.8,25.7,43.9,7.9,0.473,0.414,0.325,0.684,0.222,97.0,27.6,8.1,0.364,0.323,50.2,0.506,0.467,72.1,3.9,8.1,-2.56,0.404,0.384,49.8,0.559,15.4,0.502,0.645,1325
230,OKLAHOMA-STATE,50.8,8.1,0.539,0.467,0.383,0.789,0.302,9.899999999999991,117.8,38.1,51.5,10.8,0.535,0.471,0.449,0.724,0.325,107.9,31.2,8.9,0.345,0.367,47.1,0.575,0.527,72.7,19.19,10.5,12.22,0.357,0.402,52.9,0.583,15.1,0.503,0.606,1329
231,OKLAHOMA,41.6,12.7,0.475,0.423,0.368,0.721,0.265,-1.7000000000000028,100.6,30.9,51.6,10.7,0.5,0.431,0.335,0.683,0.229,102.3,29.8,9.7,0.38,0.364,49.5,0.53,0.472,71.1,11.42,9.5,12.62,0.3,0.344,50.5,0.517,16.4,0.457,0.355,1328
232,OLD-DOMINION,58.0,14.5,0.456,0.412,0.341,0.643,0.219,5.200000000000003,100.2,35.5,50.5,7.8,0.464,0.4,0.386,0.706,0.272,95.0,25.4,7.7,0.381,0.336,46.0,0.507,0.44,63.8,1.94,9.8,-1.35,0.275,0.324,54.0,0.487,14.5,0.445,0.613,1330
233,ORAL-ROBERTS,52.2,7.8,0.505,0.445,0.301,0.759,0.229,-6.699999999999989,104.4,25.7,55.4,7.6,0.543,0.468,0.314,0.707,0.222,111.1,28.9,9.5,0.381,0.397,51.7,0.569,0.511,71.4,-5.51,7.5,1.24,0.323,0.367,48.3,0.542,14.8,0.483,0.267,1331
234,OREGON-STATE,52.7,10.4,0.488,0.428,0.337,0.661,0.223,-13.899999999999991,93.9,27.2,55.0,9.0,0.511,0.445,0.388,0.701,0.272,107.8,31.9,12.0,0.369,0.359,52.1,0.546,0.496,67.0,-4.59,8.2,5.89,0.348,0.346,47.9,0.517,20.1,0.471,0.156,1333
235,OREGON,56.3,17.2,0.554,0.481,0.347,0.712,0.247,19.0,114.2,32.2,48.9,9.6,0.462,0.403,0.257,0.719,0.185,95.2,28.6,6.9,0.378,0.313,47.1,0.494,0.458,68.8,20.8,9.4,8.38,0.388,0.38,52.9,0.582,14.7,0.545,0.846,1332
236,PACIFIC,50.5,6.0,0.452,0.404,0.346,0.675,0.234,-7.299999999999997,97.9,30.2,60.1,10.2,0.522,0.449,0.413,0.696,0.287,105.2,24.2,7.5,0.412,0.353,48.6,0.556,0.516,68.0,-4.57,6.2,2.09,0.289,0.33,51.4,0.489,14.6,0.434,0.333,1334
237,PENN-STATE,54.4,14.0,0.473,0.415,0.329,0.745,0.245,-1.4000000000000057,98.5,26.6,51.4,10.2,0.492,0.43,0.312,0.713,0.222,99.9,30.7,9.0,0.34,0.363,52.4,0.525,0.465,71.5,7.9,9.3,8.9,0.341,0.339,47.6,0.515,15.8,0.454,0.455,1336
238,PENNSYLVANIA,56.5,10.6,0.516,0.443,0.26,0.657,0.171,1.2999999999999972,101.8,27.5,54.6,9.4,0.488,0.416,0.336,0.729,0.245,100.5,29.4,8.4,0.395,0.36,50.7,0.526,0.453,67.4,-0.65,9.6,-1.5,0.43,0.339,49.3,0.535,16.6,0.521,0.464,1335
